Are there any tips on studying and juggling the workload?,"Study tips: Stay in class. Do not over commit. Plan what you want to do"
How does the school sort by pillar?,"SUTD does not sort you into pillars. You choose the pillar, and will get the pillar of your choice baring extraneous circumstances."
What is the criteria for choosing my pillar,"You can pick the pillar of your choice. The only requirement is you pass all your core modules in Freshmore."
Can I drink on campus?,"Students are not allowed to consume alcoholic drinks on campus."
Why is SUTD so far?,"SUTD is situated near Changi Business Park, Singapore Expo."
Why is SUTD in Changi?,"SUTD is situated near Changi Business Park, Singapore Expo."
Why no openhouse?,"This year's Open House is virtual due to safety concerns regarding the COVID-19 outbreak."
Why no Open House?,"This year's Open House is virtual due to safety concerns regarding the COVID-19 outbreak."
When is openhouse?,"This year's Open House is virtual due to safety concerns regarding the COVID-19 outbreak."
is there a shuttle bus,"There is no shuttle bus. This year's Open House is virtual due to safety concerns regarding the COVID-19 outbreak."
Who is the person who send out the wuhan email?,"I cannot answer that question."
Can I appeal application?,"If you wish to appeal against SUTD's admissions decision, you are required to submit an online appeal within 2 weeks following notification of the application outcome. Appeals can be submitted at: https://admission.sutd.edu.sg/psc/CSADM1PRD/APPLICANT/HRMS/c/N_ADMISSIONS.N_AD_APPLUG_APL.GBL/action=U"
I got rejected I want to study here,"You will need to appeal your application outcome or apply again next year. Appeals can be done at https://admission.sutd.edu.sg/psc/CSADM1PRD/APPLICANT/HRMS/c/N_ADMISSIONS.N_AD_APPLUG_APL.GBL/action=U"
"What if I have bad grades, can I still apply?","You should always try to apply. SUTD assesses applications holistically, so you will get a fair assessment."
What is the schedule of a full time student?,"It varies from person to person, but most have classes every day. Wednesday and Friday afternoons are kept free for Fifth Row activites."
How busy will a full time student be?,"It varies from person to person, but most have classes every day. Wednesday and Friday afternoons are kept free for Fifth Row activites."
How to do PhD? ,"There are two PhD intakes a year, in September and January. https://sutd.edu.sg/Admissions/Graduate/PhD-Programmes/SUTD-PhD-Programme/Application"
How much money can i earn if i graduate from SUTD,"The median gross monthly salary for fresh graduates employed in full-time permanent employment was $3,850 in 2018, compared to $3,700 in 2017. You can read more about this here: https://www.sutd.edu.sg/About-Us/News-and-Events/Press-Releases/2019/3/Increase-in-Overall-Employment-Rates"
Is SUTD's degree recognised?,"SUTD degrees are recognised by the IES Engineering Accreditation Board"
Is SUTD's degree accredited,"SUTD degrees are recognised by the IES Engineering Accreditation Board"
Is SUTD good?,"Of course SUTD is good!"
Why i get kicked out of hostel?,"Students may get evicted from hostel due to issues that affect student safety."
How do I use you?,"Ask me any question about SUTD!"
what's the best pillar,"Best pillar is a subjective choice: everyone has their own interests and career preferences!"
"I'm a JC student that took science stream, which pillar should I go","As a JC student that took science stream, you will be well suited to SUTD. Typical pillar choices are EPD, ESD or ISTD."
"If I did not take math or science, can I come SUTD? ","You can apply to SUTD even if you did not take math or science. The admissions officers will follow up to understand your math/science knowledge and offer you advice."
What is the average GPA?,"I cannot answer that question."
Doesn't class size depend on pillar also?,"The larger pillars might have larger class sizes depending on the number of people taking the modules."
what kind of courses are there,"SUTD has five main pillars: EPD, ESD, ISTD, ASD, DAI. Learn more at: https://sutd.edu.sg/Education/Unique-Academic-Structure"
what kind of classes do you offer,"SUTD has five main pillars: EPD, ESD, ISTD, ASD, DAI. Learn more at: https://sutd.edu.sg/Education/Unique-Academic-Structure"
what kind of courses are there,"SUTD has five main pillars: EPD, ESD, ISTD, ASD, DAI. Learn more at: https://sutd.edu.sg/Education/Unique-Academic-Structure"
What are the pillars?,"SUTD has five main pillars: EPD, ESD, ISTD, ASD, DAI. Learn more at: https://sutd.edu.sg/Education/Unique-Academic-Structure"
Do you have to find group mates for capstone project?,"For student-initiated Capstone, you get to pick your own team, project and partner company. For school-assigned Capstone, you don't get to pick your team mates."
How are group mates assigned for capstone project?,"For student-initiated Capstone, you get to pick your own team, project and partner company. For school-assigned Capstone, you don't get to pick your team mates."
How was the capstone experience?,"It is hard to make a sweeping statement about the Capstone experience as it varies greatly across teams and projects. Pretty much every Capstone project is unique. Because you get to pick your team and company for student-initiated Capstone, experiences there are generally much more positive."
What is capstone like?,"It is hard to make a sweeping statement about the Capstone experience as it varies greatly across teams and projects. Pretty much every Capstone project is unique. Because you get to pick your team and company for student-initiated Capstone, experiences there are generally much more positive."
What is the difference between SUTD Honours and Research Programme and NTU's CNYANG?,"NTU's CNYANG covers lots more content in-depth, while SHARP covers a much broader scope of content as the goal is to perform inter-disciplinary research after all. "
What is the difference between Honours and Research programme and NTU's CNYANG?,"NTU's CNYANG covers lots more content in-depth, while SHARP covers a much broader scope of content as the goal is to perform inter-disciplinary research after all. "
What is the difference between Honours and Research Program and NTU's CNYANG?,"NTU's CNYANG covers lots more content in-depth, while SHARP covers a much broader scope of content as the goal is to perform inter-disciplinary research after all. "
What is the difference between SHARP and NTU's CNYANG?,"NTU's CNYANG covers lots more content in-depth, while SHARP covers a much broader scope of content as the goal is to perform inter-disciplinary research after all. "
What is SUTD Honours and Research Programme experience like?,"For SHARP, bulk of the curriculum same as normal students, but with additional Honours classes and research opportunities (like a $7.5k grant and conference funding). During Freshmore an extra class once a week, and the subject will change every term, with different sub-topic every 3 weeks."
What is Honours and Research programme experience like?,"For SHARP, bulk of the curriculum same as normal students, but with additional Honours classes and research opportunities (like a $7.5k grant and conference funding). During Freshmore an extra class once a week, and the subject will change every term, with different sub-topic every 3 weeks."
What is Honours and Research Program experience like?,"For SHARP, bulk of the curriculum same as normal students, but with additional Honours classes and research opportunities (like a $7.5k grant and conference funding). During Freshmore an extra class once a week, and the subject will change every term, with different sub-topic every 3 weeks."
What is SHARP experience like?,"For SHARP, bulk of the curriculum same as normal students, but with additional Honours classes and research opportunities (like a $7.5k grant and conference funding). During Freshmore an extra class once a week, and the subject will change every term, with different sub-topic every 3 weeks."
How much of Freshmore is applied to pillar years?,"The relevance of Freshmore subjects varies depending on pillar. EPD benefit the most from the math/science modules in Freshmore, while some electives cater to the different pillars."
Is Freshmore relevant?,"The relevance of Freshmore subjects varies depending on pillar. EPD benefit the most from the math/science modules in Freshmore, while some electives cater to the different pillars."
Is it hard to cope with the workload?,"It is not impossible to cope with the workload if you manage your commitments, such as Fifth Row and UROPs etc."
What is sutd culture like?,"SUTD culture is unique as the cohort is small and most people know each other. There are many student-driven initiatives, and the senior management often engages with students. "
sudo rm -rf,"k"
Should I come to sutd,"You should come to SUTD if you like the intersection between engineering and design, and like doing lots of hands-on projects."
when will i graduate,"You will graduate after 8 terms (about 3.5 years) for the full-time degree courses. "
List of CCAs ,"SUTD has many Fifth Rows ranging from Sports, Arts and Specialist/Maker clubs. See the list here: https://root.sutd.edu.sg/fifthrow/"
What clubs are there,"SUTD has many Fifth Rows ranging from Sports, Arts and Specialist/Maker clubs. See the list here: https://root.sutd.edu.sg/fifthrow/"
What ccas are there,"SUTD has many Fifth Rows ranging from Sports, Arts and Specialist/Maker clubs. See the list here: https://root.sutd.edu.sg/fifthrow/"
What fifth rows are there,"SUTD has many Fifth Rows ranging from Sports, Arts and Specialist/Maker clubs. See the list here: https://root.sutd.edu.sg/fifthrow/"
How many ccas or fifth rows are there,"SUTD has many Fifth Rows ranging from Sports, Arts and Specialist/Maker clubs. See the list here: https://root.sutd.edu.sg/fifthrow/"
Can i take HASS as a major,"You cannot take HASS as a major. However, you can take HASS minors, such as Digital Humanities, and Design, Technology and Society."
Can i go MIT?,"I cannot answer this question."
why did SUTD break up with MIT,"I cannot answer this question."
What is the freshmore curriculum like?,"The bulk of your modules will be things like math, science and humanities (one per term), and most modules will have one hands-on project (1D). In Term 3, you'll be allowed to choose from several electives depending on your interests. The detailed Freshmore curriculum can be found here: https://sutd.edu.sg/Education/Unique-Academic-Structure/Freshmore-Subjects"
If i join SUTD must i learn how to code?,"If you join SUTD you almost certainly must learn how to code, even in pillars other than ISTD. But don't worry, you have plenty of time to learn after you enter SUTD."
What the difference between minor and focus track?,"Focus track differs from minor as it tailors your modules to fit a certain industry vertical. A minor is a secondary discipline value adds to your focus track."
Is SUTD accessible to the disabled?,"SUTD has facilities to cater to everyone. Do let the admissions officers know of your specific needs."
Can I cook in hostel?,"You can cook together with your friends in student housing."
Can I learn cooking in SUTD?,"You can cook together with your friends in student housing. There is also a fifth row (Grub Club) that cooks together and hold workshops teaching people how to cook."
What is SUTD's computer science course?,"Information Systems Technology and Design is the closest course to computer science."
Why is SUTD no longer affiliated to MIT?,"I cannot answer that question."
What happened to the MIT exchange programme?,"I cannot answer that question."
Does SUTD have a pool?,"SUTD has a swimming pool and a gym that is open 6 days a week"
Can I swim in SUTD?,"SUTD has a swimming pool and a gym that is open 6 days a week"
Does SUTD have a gym?,"SUTD has a swimming pool and a gym that is open 6 days a week"
Is Information Systems Technology and Design the best?,"That definitely depends on your interests!"
Is Information Systems Technology and Design pillar the best?,"That definitely depends on your interests!"
Is ISTD pillar the best?,"That definitely depends on your interests!"
Is ISTD the best?,"That definitely depends on your interests!"
Why did sutd build the time capsule?,"SUTD built the time capsule to better capture the work done by the community over the first 10 years of its inception."
Poly GPA for entry,"There is no hard cut-off GPA for admission. Do apply with your portfolio."
Polytechnic GPA for entry,"There is no hard cut-off GPA for admission. Do apply with your portfolio."
What startups are in SUTD?,"There is a vibrant startup ecosystem in SUTD supported by http://entrepreneurship.sutd.edu.sg/"
How many students get an job offer at Google?,"We have a number of alumni doing software engineering at Google, or doing a AI residency at Google. You should be able to locate them on LinkedIn"
How do I make this chatbot,"We used Dialogflow, Discord's bot feature, and intergrated them with some NodeJS :)"
How long is SUTD,"You will graduate after 8 terms (about 3.5 years) for the full-time degree courses."
How long is the course,"You will graduate after 8 terms (about 3.5 years) for the full-time degree courses."
What is the new pillar,"The new pillar is called DAI (Design and Artificial Intelligence). You can find out more here: https://sutd.edu.sg/admissions/undergraduate/programmes/design-and-artificial-intelligence"
What is the AI pillar,"The new pillar is called DAI (Design and Artificial Intelligence). You can find out more here: https://sutd.edu.sg/admissions/undergraduate/programmes/design-and-artificial-intelligence"
What is HASS,"HASS stands for Humanities, Arts and Social Science. You can find out more here: https://hass.sutd.edu.sg/"
What is Independent Activities Period,"IAP stands for Independent Activities Period. Every year in January, IAP happens for about one month to allow students to pursue co-curricular activities such as overseas trips, workshops and Fifth Row events."
What is IAP,"IAP stands for Independent Activities Period. Every year in January, IAP happens for about one month to allow students to pursue co-curricular activities such as overseas trips, workshops and Fifth Row events."
What's the difference between SUTD and NUS or NTU?,"SUTD is better :)"
What's the difference between Architecture and Sustainable Design and NUS archi?,"Architecture in SUTD gives you the opportunity to use technology and parametric tools to develop your design."
What's the difference between Architecture and Sustainable Design Pillar and NUS archi?,"Architecture in SUTD gives you the opportunity to use technology and parametric tools to develop your design."
What's the difference between ASD pillar and NUS archi?,"Architecture in SUTD gives you the opportunity to use technology and parametric tools to develop your design."
What's the difference between archi and NUS archi?,"Architecture in SUTD gives you the opportunity to use technology and parametric tools to develop your design."
What's the difference between architecture and NUS archi?,"Architecture in SUTD gives you the opportunity to use technology and parametric tools to develop your design."
What's the difference between ASD and NUS archi?,"Architecture in SUTD gives you the opportunity to use technology and parametric tools to develop your design."
What's the difference between Architecture and Sustainable Design and NUS architecture?,"Architecture in SUTD gives you the opportunity to use technology and parametric tools to develop your design."
What's the difference between Architecture and Sustainable Design Pillar and NUS architecture?,"Architecture in SUTD gives you the opportunity to use technology and parametric tools to develop your design."
What's the difference between ASD pillar and NUS architecture?,"Architecture in SUTD gives you the opportunity to use technology and parametric tools to develop your design."
What's the difference between archi and NUS architecture?,"Architecture in SUTD gives you the opportunity to use technology and parametric tools to develop your design."
What's the difference between architecture and NUS architecture?,"Architecture in SUTD gives you the opportunity to use technology and parametric tools to develop your design."
What's the difference between ASD and NUS architecture?,"Architecture in SUTD gives you the opportunity to use technology and parametric tools to develop your design."
What is love?,"Baby don't hurt me"
What is a freshmore?,"Since SUTD years are trimesters, Freshmore is a combination of the Freshman and Sophomore years."
Is there bubble tea at SUTD?,"There is a GongCha right next to the campus center."
Do you have bbt at SUTD?,There is a GongCha right next to the campus center.
